,siguCd,siguNm,dongCd,dongNm,orgAreaNm,gb,ph,td,jy,ec,tp,sopCheck
0,710,기장군,330,철마면,명장정수장,정수장,6.79,점검중,0.62,-,-,점검중
1,710,기장군,330,철마면,고촌배수지,배수지,7.05,0.04,0.17,174.70,24.15,정상
2,710,기장군,330,철마면,정관(택지)고지배수지,배수지,7.11,0.09,0.19,-,-,정상
3,710,기장군,330,철마면,철마면,블록,7.45,0.04,0.52,180.79,26.30,정상
4,710,기장군,310,일광면,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
5,710,기장군,310,일광면,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
6,710,기장군,310,일광면,좌동2배수지,배수지,7.15,0.11,0.31,252.40,29.15,정상
7,710,기장군,310,일광면,일광읍,블록,7.14,0.04,0.38,-,8.78,정상
8,710,기장군,256,정관읍,명장정수장,정수장,6.79,점검중,0.62,-,-,점검중
9,710,기장군,256,정관읍,정관(택지)저지배수지,배수지,7.84,0.06,0.33,207.20,28.05,정상
10,710,기장군,256,정관읍,정관산단배수지,배수지,7.35,0.07,0.24,193.86,26.10,정상
11,710,기장군,256,정관읍,정관(택지)고지배수지,배수지,7.11,0.09,0.19,-,-,정상
12,710,기장군,256,정관읍,정관읍,블록,7.26,0.07,0.31,222.28,25.90,정상
13,710,기장군,253,장안읍,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
14,710,기장군,253,장안읍,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
15,710,기장군,253,장안읍,좌동2배수지,배수지,7.15,0.11,0.31,252.40,29.15,정상
16,710,기장군,253,장안읍,장안읍,블록,7.14,0.04,0.38,-,8.78,정상
17,710,기장군,250,기장읍,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
18,710,기장군,250,기장읍,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
19,710,기장군,250,기장읍,좌동2배수지,배수지,7.15,0.11,0.31,252.40,29.15,정상
20,710,기장군,250,기장읍,기장읍,블록,7.01,0.11,0.35,375.83,29.96,정상
21,530,사상구,680,엄궁동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
22,530,사상구,680,엄궁동,사상가압장(기설),가압장,7.11,0.08,0.74,291.15,27.15,정상
23,530,사상구,680,엄궁동,엄궁배수지,배수지,7.16,0.11,0.37,-,-,정상
24,530,사상구,680,엄궁동,엄궁동,블록,7.25,0.10,0.42,271.48,28.70,정상
25,530,사상구,670,학장동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
26,530,사상구,670,학장동,학장동,블록,7.30,0.09,0.42,214.98,29.80,정상
27,530,사상구,661,주례3동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
28,530,사상구,660,주례2동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
29,530,사상구,660,주례2동,사상가압장(신설),가압장,7.14,0.08,0.74,250.31,28.65,정상
30,530,사상구,660,주례2동,수정산터널배수지,배수지,7.19,0.14,0.47,-,-,정상
31,530,사상구,650,주례1동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
32,530,사상구,650,주례1동,사상가압장(신설),가압장,7.14,0.08,0.74,250.31,28.65,정상
33,530,사상구,650,주례1동,주례1배수지,배수지,7.65,0.06,0.10,286.72,28.75,정상
34,530,사상구,650,주례1동,주례1동,블록,7.34,0.11,0.62,278.83,28.80,정상
35,530,사상구,645,감전동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
36,530,사상구,645,감전동,감전동,블록,점검중,0.16,점검중,-,-,정상
37,530,사상구,620,괘법동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
38,530,사상구,620,괘법동,괘법동,블록,점검중,0.16,점검중,-,-,정상
39,530,사상구,610,덕포2동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
40,530,사상구,610,덕포2동,사상가압장(신설),가압장,7.14,0.08,0.74,250.31,28.65,정상
41,530,사상구,610,덕포2동,모라배수지,배수지,점검중,점검중,점검중,-,-,점검중
42,530,사상구,610,덕포2동,덕포2동,블록,7.33,0.07,0.50,230.25,28.40,정상
43,530,사상구,600,덕포1동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
44,530,사상구,593,모라3동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
45,530,사상구,593,모라3동,사상가압장(신설),가압장,7.14,0.08,0.74,250.31,28.65,정상
46,530,사상구,592,모라2동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
47,530,사상구,592,모라2동,사상가압장(신설),가압장,7.14,0.08,0.74,250.31,28.65,정상
48,530,사상구,591,모라1동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
49,530,사상구,591,모라1동,사상가압장(신설),가압장,7.14,0.08,0.74,250.31,28.65,정상
50,530,사상구,591,모라1동,모라배수지,배수지,점검중,점검중,점검중,-,-,점검중
51,530,사상구,580,삼락동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
52,500,수영구,800,민락동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
53,500,수영구,800,민락동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
54,500,수영구,800,민락동,민락동,블록,7.17,0.14,0.33,321.56,29.60,정상
55,500,수영구,790,광안4동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
56,500,수영구,790,광안4동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
57,500,수영구,780,광안3동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
58,500,수영구,780,광안3동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
59,500,수영구,780,광안3동,광안3동,블록,7.62,0.10,0.14,249.71,29.80,정상
60,500,수영구,770,광안2동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
61,500,수영구,770,광안2동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
62,500,수영구,760,광안1동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
63,500,수영구,760,광안1동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
64,500,수영구,750,망미2동,명장정수장,정수장,6.79,점검중,0.62,-,-,점검중
65,500,수영구,750,망미2동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
66,500,수영구,750,망미2동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
67,500,수영구,750,망미2동,명장배수지,배수지,7.60,0.04,0.46,245.10,26.60,정상
68,500,수영구,740,망미1동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
69,500,수영구,740,망미1동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
70,500,수영구,740,망미1동,망미배수지,배수지,7.33,0.07,0.28,-,-,정상
71,500,수영구,740,망미1동,연산배수지,배수지,7.10,0.10,0.21,251.48,29.09,정상
72,500,수영구,740,망미1동,망미1동,블록,7.62,0.10,0.14,249.71,29.80,정상
73,500,수영구,730,수영동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
74,500,수영구,730,수영동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
75,500,수영구,670,남천2동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
76,500,수영구,670,남천2동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
77,500,수영구,670,남천2동,남천2동,블록,7.65,0.18,0.37,-,-,정상
78,500,수영구,660,남천1동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
79,500,수영구,660,남천1동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
80,500,수영구,660,남천1동,남천1동,블록,7.65,0.18,0.37,-,-,정상
