,siguCd,siguNm,dongCd,dongNm
0,710,기장군,330,철마면
1,710,기장군,320,정관면
2,710,기장군,310,일광면
3,710,기장군,256,정관읍
4,710,기장군,253,장안읍
5,710,기장군,250,기장읍
6,710,기장군,000,
7,530,사상구,680,엄궁동
8,530,사상구,670,학장동
9,530,사상구,661,주례3동
10,530,사상구,660,주례2동
11,530,사상구,650,주례1동
12,530,사상구,645,감전동
13,530,사상구,640,감전2동
14,530,사상구,630,감전1동
15,530,사상구,620,괘법동
16,530,사상구,610,덕포2동
17,530,사상구,600,덕포1동
18,530,사상구,593,모라3동
19,530,사상구,592,모라2동
20,530,사상구,591,모라1동
21,530,사상구,580,삼락동
22,530,사상구,000,
23,500,수영구,800,민락동
24,500,수영구,790,광안4동
25,500,수영구,780,광안3동
26,500,수영구,770,광안2동
27,500,수영구,760,광안1동
28,500,수영구,750,망미2동
29,500,수영구,740,망미1동
30,500,수영구,730,수영동
31,500,수영구,670,남천2동
32,500,수영구,660,남천1동
33,500,수영구,000,
34,470,연제구,730,연산9동
35,470,연제구,720,연산8동
36,470,연제구,710,연산7동
37,470,연제구,700,연산6동
38,470,연제구,690,연산5동
39,470,연제구,680,연산4동
40,470,연제구,670,연산3동
41,470,연제구,660,연산2동
42,470,연제구,650,연산1동
43,470,연제구,640,거제4동
44,470,연제구,630,거제3동
45,470,연제구,620,거제2동
46,470,연제구,610,거제1동
47,470,연제구,000,
48,440,강서구,580,가덕도동
49,440,강서구,570,천가동
50,440,강서구,560,녹산동
51,440,강서구,550,가락동
52,440,강서구,540,명지동
53,440,강서구,530,강동동
54,440,강서구,520,대저2동
55,440,강서구,510,대저1동
56,440,강서구,000,
57,410,금정구,700,금성동
58,410,금정구,690,구서2동
59,410,금정구,680,구서1동
60,410,금정구,670,남산동
61,410,금정구,665,청룡노포동
62,410,금정구,635,선두구동
63,410,금정구,620,장전3동
64,410,금정구,610,장전2동
65,410,금정구,600,장전1동
66,410,금정구,591,부곡4동
67,410,금정구,590,부곡3동
68,410,금정구,580,부곡2동
69,410,금정구,570,부곡1동
70,410,금정구,550,금사동
71,410,금정구,540,서4동
72,410,금정구,530,서3동
73,410,금정구,520,서2동
74,410,금정구,510,서1동
75,410,금정구,000,
76,380,사하구,630,감천2동
77,380,사하구,620,감천1동
78,380,사하구,610,구평동
79,380,사하구,602,다대2동
80,380,사하구,601,다대1동
81,380,사하구,590,장림2동
82,380,사하구,580,장림1동
83,380,사하구,572,신평2동
84,380,사하구,571,신평1동
85,380,사하구,562,하단2동
86,380,사하구,561,하단1동
87,380,사하구,550,당리동
88,380,사하구,540,괴정4동
89,380,사하구,530,괴정3동
90,380,사하구,520,괴정2동
91,380,사하구,510,괴정1동
92,380,사하구,000,
93,350,해운대구,660,재송2동
94,350,해운대구,650,재송1동
95,350,해운대구,630,반송3동
96,350,해운대구,620,반송2동
97,350,해운대구,610,반송1동
98,350,해운대구,595,반여4동
99,350,해운대구,590,반여3동
100,350,해운대구,580,반여2동
101,350,해운대구,570,반여1동
102,350,해운대구,560,송정동
103,350,해운대구,554,좌4동
104,350,해운대구,553,좌3동
105,350,해운대구,552,좌2동
106,350,해운대구,551,좌1동
107,350,해운대구,540,중2동
108,350,해운대구,530,중1동
109,350,해운대구,525,우3동
110,350,해운대구,520,우2동
111,350,해운대구,510,우1동
112,350,해운대구,000,
113,320,북구,573,만덕3동
114,320,북구,572,만덕2동
115,320,북구,571,만덕1동
116,320,북구,561,덕천3동
117,320,북구,560,덕천2동
118,320,북구,550,덕천1동
119,320,북구,543,화명3동
120,320,북구,542,화명2동
121,320,북구,541,화명1동
122,320,북구,530,금곡동
123,320,북구,521,구포3동
124,320,북구,520,구포2동
125,320,북구,510,구포1동
126,320,북구,000,
127,290,남구,710,문현4동
128,290,남구,700,문현3동
129,290,남구,690,문현2동
130,290,남구,680,문현1동
131,290,남구,650,우암2동
132,290,남구,645,우암동
133,290,남구,640,우암1동
134,290,남구,630,감만2동
135,290,남구,620,감만1동
136,290,남구,610,용당동
137,290,남구,600,용호4동
138,290,남구,590,용호3동
139,290,남구,580,용호2동
140,290,남구,570,용호1동
141,290,남구,560,대연6동
142,290,남구,550,대연5동
143,290,남구,540,대연4동
144,290,남구,530,대연3동
145,290,남구,520,대연2동
146,290,남구,510,대연1동
147,290,남구,000,
148,260,동래구,762,명장2동
149,260,동래구,761,명장1동
150,260,동래구,750,안락2동
151,260,동래구,740,안락1동
152,260,동래구,600,사직3동
153,260,동래구,590,사직2동
154,260,동래구,580,사직1동
155,260,동래구,570,온천3동
156,260,동래구,560,온천2동
157,260,동래구,550,온천1동
158,260,동래구,545,명륜동
159,260,동래구,540,명륜2동
160,260,동래구,530,명륜1동
161,260,동래구,520,복산동
162,260,동래구,510,수민동
163,260,동래구,000,
164,230,부산진구,790,범천4동
165,230,부산진구,780,범천2동
166,230,부산진구,770,범천1동
167,230,부산진구,760,개금3동
168,230,부산진구,750,개금2동
169,230,부산진구,740,개금1동
170,230,부산진구,730,가야3동
171,230,부산진구,720,가야2동
172,230,부산진구,710,가야1동
173,230,부산진구,700,당감4동
174,230,부산진구,690,당감3동
175,230,부산진구,680,당감2동
176,230,부산진구,670,당감1동
177,230,부산진구,660,부암3동
178,230,부산진구,640,부암1동
179,230,부산진구,620,전포3동
180,230,부산진구,610,전포2동
181,230,부산진구,600,전포1동
182,230,부산진구,570,양정2동
183,230,부산진구,560,양정1동
184,230,부산진구,550,초읍동
185,230,부산진구,540,연지동
186,230,부산진구,530,범전동
187,230,부산진구,520,부전2동
188,230,부산진구,510,부전1동
189,230,부산진구,000,
190,200,영도구,670,동삼3동
191,200,영도구,660,동삼2동
192,200,영도구,650,동삼1동
193,200,영도구,640,청학2동
194,200,영도구,630,청학1동
195,200,영도구,620,봉래4동
196,200,영도구,610,봉래3동
197,200,영도구,605,봉래2동
198,200,영도구,590,봉래1동
199,200,영도구,585,신선동
200,200,영도구,580,신선3동
201,200,영도구,570,신선2동
202,200,영도구,560,신선1동
203,200,영도구,550,영선2동
204,200,영도구,540,영선1동
205,200,영도구,530,남항동
206,200,영도구,000,
207,170,동구,690,범일6동
208,170,동구,680,범일5동
209,170,동구,670,범일4동
210,170,동구,660,범일2동
211,170,동구,650,범일1동
212,170,동구,645,좌천동
213,170,동구,640,좌천4동
214,170,동구,610,좌천1동
215,170,동구,600,수정5동
216,170,동구,590,수정4동
217,170,동구,580,수정3동
218,170,동구,570,수정2동
219,170,동구,560,수정1동
220,170,동구,550,초량6동
221,170,동구,540,초량4동
222,170,동구,530,초량3동
223,170,동구,520,초량2동
224,170,동구,510,초량1동
225,170,동구,000,
226,140,서구,680,암남동
227,140,서구,670,남부민3동
228,140,서구,660,남부민2동
229,140,서구,650,남부민1동
230,140,서구,640,충무동
231,140,서구,630,초장동
232,140,서구,615,아미동
233,140,서구,590,부민동
234,140,서구,570,서대신4동
235,140,서구,560,서대신3동
236,140,서구,540,서대신1동
237,140,서구,530,동대신3동
238,140,서구,520,동대신2동
239,140,서구,510,동대신1동
240,140,서구,000,
241,110,중구,600,영주2동
242,110,중구,590,영주1동
243,110,중구,580,남포동
244,110,중구,570,광복동
245,110,중구,560,부평동
246,110,중구,545,보수동
247,110,중구,530,대청동
248,110,중구,520,동광동
249,110,중구,510,중앙동
250,110,중구,000,
251,101,본부,000,
