,orgAreaNm,gb,ph,td,jy,ec,tp,sopCheck,siguCd,dongCd
0,명장정수장,정수장,6.80,점검중,0.61,-,-,점검중,710,330
1,고촌배수지,배수지,7.06,0.04,0.15,173.65,24.05,정상,710,330
2,정관(택지)고지배수지,배수지,7.09,0.08,0.18,-,-,정상,710,330
3,철마면,블록,7.46,0.04,0.51,180.75,26.20,정상,710,330
4,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,710,310
5,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,710,310
6,좌동2배수지,배수지,7.15,0.10,0.30,249.66,29.10,정상,710,310
7,일광읍,블록,7.14,0.04,0.38,-,8.78,정상,710,310
8,명장정수장,정수장,6.80,점검중,0.61,-,-,점검중,710,256
9,정관(택지)저지배수지,배수지,7.89,0.12,0.32,206.96,29.17,정상,710,256
10,정관산단배수지,배수지,7.35,0.07,0.25,186.73,26.20,정상,710,256
11,정관(택지)고지배수지,배수지,7.09,0.08,0.18,-,-,정상,710,256
12,정관읍,블록,7.26,0.07,0.29,209.28,25.90,정상,710,256
13,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,710,253
14,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,710,253
15,좌동2배수지,배수지,7.15,0.10,0.30,249.66,29.10,정상,710,253
16,장안읍,블록,7.14,0.04,0.38,-,8.78,정상,710,253
17,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,710,250
18,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,710,250
19,좌동2배수지,배수지,7.15,0.10,0.30,249.66,29.10,정상,710,250
20,기장읍,블록,7.01,0.11,0.35,374.24,29.93,정상,710,250
21,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,530,680
22,사상가압장(기설),가압장,7.12,0.07,0.71,274.29,27.15,정상,530,680
23,엄궁배수지,배수지,7.16,0.10,0.36,-,-,정상,530,680
24,엄궁동,블록,7.25,0.10,0.41,265.30,28.70,정상,530,680
25,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,530,670
26,학장동,블록,7.31,0.08,0.41,216.55,29.80,정상,530,670
27,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,530,661
28,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,530,660
29,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,530,660
30,수정산터널배수지,배수지,7.19,0.13,0.43,-,-,정상,530,660
31,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,530,650
32,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,530,650
33,주례1배수지,배수지,7.65,0.06,0.09,287.00,28.70,정상,530,650
34,주례1동,블록,7.34,0.12,0.63,277.43,28.80,정상,530,650
35,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,530,645
36,감전동,블록,점검중,0.16,점검중,-,-,정상,530,645
37,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,530,620
38,괘법동,블록,점검중,0.16,점검중,-,-,정상,530,620
39,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,530,610
40,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,530,610
41,모라배수지,배수지,점검중,점검중,점검중,-,-,점검중,530,610
42,덕포2동,블록,7.32,0.07,0.50,227.70,28.40,정상,530,610
43,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,530,600
44,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,530,593
45,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,530,593
46,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,530,592
47,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,530,592
48,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,530,591
49,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,530,591
50,모라배수지,배수지,점검중,점검중,점검중,-,-,점검중,530,591
51,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,530,580
52,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,500,800
53,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,500,800
54,민락동,블록,7.20,0.14,0.35,318.79,29.50,정상,500,800
55,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,500,790
56,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,500,790
57,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,500,780
58,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,500,780
59,광안3동,블록,7.63,0.10,0.12,249.13,29.80,정상,500,780
60,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,500,770
61,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,500,770
62,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,500,760
63,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,500,760
64,명장정수장,정수장,6.80,점검중,0.61,-,-,점검중,500,750
65,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,500,750
66,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,500,750
67,명장배수지,배수지,7.63,0.04,0.44,245.00,26.60,정상,500,750
68,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,500,740
69,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,500,740
70,망미배수지,배수지,7.33,0.07,0.29,-,-,정상,500,740
71,연산배수지,배수지,7.11,0.10,0.19,249.23,29.23,정상,500,740
72,망미1동,블록,7.63,0.10,0.12,249.13,29.80,정상,500,740
73,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,500,730
74,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,500,730
75,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,500,670
76,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,500,670
77,남천2동,블록,7.63,0.18,0.40,-,-,정상,500,670
78,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,500,660
79,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,500,660
80,남천1동,블록,7.63,0.18,0.40,-,-,정상,500,660
81,명장정수장,정수장,6.80,점검중,0.61,-,-,점검중,470,730
82,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,470,730
83,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,470,730
84,명장배수지,배수지,7.63,0.04,0.44,245.00,26.60,정상,470,730
85,연산배수지,배수지,7.11,0.10,0.19,249.23,29.23,정상,470,730
86,연산9동,블록,7.16,0.16,0.66,92.92,29.86,정상,470,730
87,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,470,720
88,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,470,720
89,연산8동,블록,6.76,0.16,0.12,330.24,29.86,정상,470,720
90,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,470,700
91,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,470,700
92,덕산정수장,정수장,6.74,0.10,1.05,-,-,정상,470,690
93,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,470,690
94,덕천가압장,가압장,7.39,0.12,0.57,277.13,29.90,정상,470,690
95,사상가압장(신설),가압장,7.15,0.08,0.73,242.67,28.70,정상,470,690
96,화명정수장,정수장,6.98,0.12,0.70,-,-,정상,470,680
