,siguCd,siguNm,dongCd,dongNm,orgAreaNm,gb,ph,td,jy,ec,tp,sopCheck
1,710,기장군,330,철마면,고촌배수지,배수지,7.06,0.05,0.16,179.36,24.30,정상
2,710,기장군,330,철마면,정관(택지)고지배수지,배수지,7.11,0.07,0.16,-,-,정상
3,710,기장군,330,철마면,철마면,블록,7.46,0.04,0.49,209.44,26.30,정상
4,710,기장군,310,일광면,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
6,710,기장군,310,일광면,좌동2배수지,배수지,7.13,0.14,0.32,230.33,29.40,정상
7,710,기장군,310,일광면,일광읍,블록,7.14,0.04,0.38,-,8.78,정상
9,710,기장군,256,정관읍,정관(택지)저지배수지,배수지,7.56,0.04,0.37,208.13,26.55,정상
10,710,기장군,256,정관읍,정관산단배수지,배수지,7.32,0.05,0.26,167.10,26.45,정상
11,710,기장군,256,정관읍,정관(택지)고지배수지,배수지,7.11,0.07,0.16,-,-,정상
12,710,기장군,256,정관읍,정관읍,블록,7.26,0.05,0.28,215.28,26.00,정상
13,710,기장군,253,장안읍,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
15,710,기장군,253,장안읍,좌동2배수지,배수지,7.13,0.14,0.32,230.33,29.40,정상
16,710,기장군,253,장안읍,장안읍,블록,7.14,0.04,0.38,-,8.78,정상
17,710,기장군,250,기장읍,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
19,710,기장군,250,기장읍,좌동2배수지,배수지,7.13,0.14,0.32,230.33,29.40,정상
20,710,기장군,250,기장읍,기장읍,블록,6.87,0.11,0.28,371.54,30.28,정상
21,530,사상구,680,엄궁동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
22,530,사상구,680,엄궁동,사상가압장(기설),가압장,7.10,0.10,0.69,257.33,27.45,정상
23,530,사상구,680,엄궁동,엄궁배수지,배수지,7.17,0.13,0.37,-,-,정상
24,530,사상구,680,엄궁동,엄궁동,블록,7.27,0.11,0.44,273.50,28.95,정상
25,530,사상구,670,학장동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
26,530,사상구,670,학장동,학장동,블록,7.32,0.10,0.41,295.36,29.96,정상
27,530,사상구,661,주례3동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
28,530,사상구,660,주례2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
29,530,사상구,660,주례2동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
30,530,사상구,660,주례2동,수정산터널배수지,배수지,7.21,0.16,0.43,-,-,정상
31,530,사상구,650,주례1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
32,530,사상구,650,주례1동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
33,530,사상구,650,주례1동,주례1배수지,배수지,7.65,0.07,0.16,283.80,28.85,정상
34,530,사상구,650,주례1동,주례1동,블록,7.33,0.13,0.63,297.83,28.98,정상
35,530,사상구,645,감전동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
37,530,사상구,620,괘법동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
39,530,사상구,610,덕포2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
40,530,사상구,610,덕포2동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
42,530,사상구,610,덕포2동,덕포2동,블록,7.32,0.07,0.49,261.55,28.47,정상
43,530,사상구,600,덕포1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
44,530,사상구,593,모라3동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
45,530,사상구,593,모라3동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
46,530,사상구,592,모라2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
47,530,사상구,592,모라2동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
48,530,사상구,591,모라1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
49,530,사상구,591,모라1동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
51,530,사상구,580,삼락동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
52,500,수영구,800,민락동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
54,500,수영구,800,민락동,민락동,블록,7.16,0.17,0.26,292.03,30.00,정상
55,500,수영구,790,광안4동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
57,500,수영구,780,광안3동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
59,500,수영구,780,광안3동,광안3동,블록,7.63,0.14,0.14,238.80,30.30,정상
60,500,수영구,770,광안2동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
62,500,수영구,760,광안1동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
65,500,수영구,750,망미2동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
